tripID,deviceID,timeStamp,accData,gps_speed,battery,cTemp,dtc,eLoad,iat,imap,kpl,maf,rpm,speed,tAdv,tPos
1,0,12/22/2017 18:43,10c0f8e00448fa18c80515d3000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,24.2612,0,66,0,28.6275,40,97,0,0,1010.75,23,0,0
1,0,12/22/2017 18:43,1138f8c804780a1ebdf718bcf919d10617c8e301b31017ccf80ed0e408bc0d23af0719b0ff14daf914c50720b4fd19bde609a10e1ebbef08b7f616abfe15c6f105b40418b3fa21c90016c70018cc0018ba,23.15,0,66,0,33.7255,40,98,0,0,815.5,21,0,0
1,0,12/22/2017 18:43,10f0f89804480612c30010c30714ce0520b7f41dbdf118bf0018c3fd12c5ff14ae0423cfeb14c30320d2ff1fd0f419bc0f17c3ea10c41128d4ed0cb7011dd40218c70718ae0613c2051ec9fb22c1fe1ecc,18.7052,0,66,0,43.1373,40,98,0,0,862.25,17,0,0
1,0,12/22/2017 18:43,10d0f84804480d15bd0210c9f822c80017caf81ccd0517c2091cc4f912cb020ec50b1acc0215c9f913bb0f19ca0c14c4fd0fc40a10acfe09b31a24d6f60cbdf714d30519baf812c9f913bd0514b60710b9,16.4828,0,66,0,41.5686,40,97,0,0,817,17,0,0
1,0,12/22/2017 18:43,1090f8c80480041dc9081cc50815c60511c60112c40514c10e11cb0915bd061ece061ac2fd16c5050ab80b14c70914c80612c40614c40a1ad4ff09b70513be0815c1fe09bd0613c6fc0ab40817bafe0ec4,17.4088,0,66,0,43.1373,40,97,0,0,804.25,15,0,0
1,0,12/22/2017 18:43,10d0f8c803b0f915c10215c7030ec00f1ac70b22cd0b1ac4fd0ec1060fc80413be010fbd0516bd0219b1f513bd0416bb0b1bc1f20dbe0719ca0e1bcf0717c2f411bb0e1dc40415c2021ac8f612bdf61ac2,15.0012,0,66,0,43.1373,40,97,0,0,831.5,12,0,0
1,0,12/22/2017 18:43,1208f8c804400219c5f517c40211ca0314bdfd1dcdf515c6061cc60019cb0618cbff0cc4ff0fc9fc11c4f012ae0419bffe11b00015cdf50bbcf516bb001dc3f515c0f515c2001ebefa1fc5f415b4fe14cb,11.6676,0,66,0,41.1765,40,97,0,0,878.25,11,0,0
1,0,12/22/2017 18:43,1358f9c804b01d3600e5f9adf50eb70217cbfa16cafb15c6f212c1f518c4fe14c1f30eb6fc1dcbf20fb9041dcbfc15cbee0cc8ff1cbef518b7f719cbee0cb2f71fc3fe19c0f50cb2f80db4010ebaf10bb0,10.0008,0,66,0,41.9608,40,97,0,0,818,11,0,0
1,0,12/22/2017 18:43,13d8fb500580f307afef0dbef513bdf51ac7f004b8fe1ed1e109abfd25d8e813b0f213c8f616c7ee0db41118cdf6f9b60218c3ec17c70225bbf51fc4091abb0117b7f80cc90313b8f009a40322c8e60b94,12.2232,0,66,0,85.098,40,98,0,0,783.25,11,0,0
1,0,12/22/2017 18:43,13c0fc180570fdfed0fd0ec0fa14e20c23d4fb13cbdcfabafa2bd3ef08d4fe17bee812ac041ec4ff01cde406a00a15d70404dd090cd40712bc0435bcf722c9eb0abde803b8ea13aa0c1aba0208a7e6f5b8,12.4084,0,66,0,68.2353,40,98,0,0,783.25,12,0,0
1,0,12/22/2017 18:43,13d8fc500580110fe50e05cae60a9df214acda00cceafbab0616c1e406adf70bc0ec01b5fe0fbbe909c9f3f9aa0109d31016e4fcf1a5120edff500b304f9b01207e0fe08b5050fa5140dcd0d00bc241ef0,15.0012,0,66,0,68.2353,40,102,0,0,1127.75,17,0,0
1,0,12/22/2017 18:43,13e0fc3005c81d25c30b04a9050cc1100dc4f80ebe0f13c6fd0bc41316d30205b8fd05c60c19c3f707b7f810d1fbffae170ece0002cfeffca80c12c3f9ffa4120fcf1414cc0d12d9120bc8fd0ca8141dc5,20.0016,0,66,0,55.2941,40,111,0,0,1444.25,22,0,0
1,0,12/22/2017 18:43,13e8fc600638060ec40518c8fefabc2e17af09fec10d00b52b17e41700b9ddead11917bffefbb2ef00ae1a12a508ffc50b11d30d10c00a13bbdef4b40e0cdcf5fdab1b079c020dd21a1bdc04fba6021dc8,25.002,0,67,0,34.902,40,102,0,0,1618.5,25,0,0
1,0,12/22/2017 18:43,1408fc2805b8f711ca0110b4100bd4f0fdef160fbde7febded0bb80b10bcff09ab090dbf0b15a90915d81310bb1912b7393a0c03ffaa372ee5fb10aaf806c20f17cc050dbd0612cb1216c60913bcf806a6,25.5576,0,67,0,30.5882,40,99,0,0,1187.25,24,0,0
1,0,12/22/2017 18:43,1440fc1005f0f802b0fd07d71111b0f303c30d17d5f708ade50a9e0518c6000eadfd08ad0519d2f409c50715c30b1dc5f3fc9afc0bbc000ab5fd0fa7f506aa070eab1016cfe705b4f91cc71517bbf7f9af,25.3724,0,67,0,58.8235,39,98,0,0,1026.25,24,0,0
1,0,12/22/2017 18:43,13f8fc1805880016b2000ea4131dba0711cf0d09c8fe07c51e2bdff409a60517cbe600a60319c21412b6f9ffc70311d1f50ca90d1abf0c0ccdf808c60912bc1414b5fc0dbf0417ba0914bf0610a71a1ed5,27.2244,0,67,0,42.3529,39,98,0,0,1075.5,25,0,0
1,0,12/22/2017 18:43,13c8fc0805c0170fcbfa14bdf1ffa6fd0faaf00ab3051cb60d15bc1b19bbf606baea0aa9fd13c0ec12b3f91dd1f40daafd0a9c0e18cb0407ad1d15d3f908ba0e14f2eafda31a25e30d19ce091bd0e70ec2,26.2984,0,67,0,40.3922,39,98,0,0,1087.25,25,0,0
1,0,12/22/2017 18:43,1380fc2005b0fd0ecbee09b4fd22c8f417abecf9d6130ebaf5059eec15c30214b6f30aa3f50eb5f207a7f2078e152ff0f507aa0212d31413de2521c8fd01d6da05af1427ebfefb980813b7dff9b8fdfbae,24.4464,0,67,0,44.3137,39,97,0,0,1107.25,26,0,0
1,0,12/22/2017 18:43,13b0fc880590feff962123f5211bb407f6cdef10cf1525d2fc0897f712d2fc0db41a24e60307c9fa10ae071dc70316c7ebfe970423ced7ee990008acff0ca9f00ab10a2aba1818bef4f2a82323f402f79b,26.6688,0,67,0,45.4902,39,97,0,0,1148,27,0,0
1,0,12/22/2017 18:43,13c8fc1805c00c0fbc1313d00727cae6fcadf6069cfb1a9e0f25cf110fb61922080b1d89ef0bd2f0edb7f2f694f4fcb3e80cae0314b5fe0aa32a2cde20fc97e1f1d72331be081bd5f915c0dbf8a82422de,27.2244,0,67,0,45.098,39,98,0,0,1183.5,27,0,0
1,0,12/22/2017 18:43,13e8fc1805a00e0ba3010eabed0cc81114e3eada9a7d5edbc901cdd828ac000de508319229480ae8ef9f2e1cef0e1cb62634e1132ceafa10b61e28da100bc60503b30e15c90f18c40506cb0712cefe07b5,29.8172,0,67,0,41.9608,39,99,0,0,1183.5,28,0,0
1,0,12/22/2017 18:43,13a8fc0805a8fb1bd3e709a81202d90403b90e079d0103b40e1fbf0417bd020bb5141ac8e4f396081cdbfef5a1f8fea6fd19d2050ad10b16bb0d20dd01ffb90e18c00212cc0b0cb3fc13c2f40bb1f500c4,29.8172,0,67,0,41.9608,39,99,0,0,1240,29,0,0
1,0,12/22/2017 18:43,13e0fc3805e81d13b70d15caff02b2fe0db00915c6f5019dfb17b3031ad0eb0bb4f011baf90bbf0612b51715c40812c0e807b71c11c4fe0fcd121dd8f1fcb70c17be0d16cbf90cc7fc0de0010bd0f2018c,31.1136,0,67,0,40.3922,39,99,0,0,1287.75,30,0,0
1,0,12/22/2017 18:43,13d0fc200620f817b9f717c5fd14d1fb15ca030cbee6fdbb0e17c41523e500fcc309fdadf70dbbf714d80c0caa0efcd60113bf0f21da0f12b80303a81313c80b10ce1813ce07fdbaf611a20f38e9ebfcad,31.6692,0,67,0,39.2157,39,99,0,0,1316,31,0,0
1,0,12/22/2017 18:43,13c0fc4805e00919c9f30abb040db5e8f3a61214af081cd50c13c2edffc6f604b0fa12bf0240a62619bee900c9f6f98a041dc9041fc80a0fb51826e90314d7f30aa9f120b0fb18c7ff079b0c0ebce4feb3,31.6692,0,67,0,34.5098,39,98,0,0,1333.5,31,0,0
1,0,12/22/2017 18:43,1438fc4805c8071bc7fc13ca050bb60b13c60812b5fc0bc30015d01120d5040dbc0d15c80813b6eb07b8f708bc1316aff607c6f007bc0722c3fb11c10a12b40609cb130fc5060dc50012c7f918c2f613b9,33.5212,0,68,0,32.549,39,98,0,0,1334.75,31,0,0
1,0,12/22/2017 18:43,1428fc3005c8fd0bc40819b50610c0fe11bd0721e2fb10c60516b3000abaf503c0171cd3f20ab6fb0eae0e18c3ff0ccdf613c9ff0dcb0d0fae020fbefa12befb18ae051cd5f90cd0fb08bafe11b6ff1db7,33.1508,0,68,0,33.3333,39,98,0,0,1320.25,31,0,0
1,0,12/22/2017 18:43,13d0fc3805e808ffae0f15cd0311c20215caf512b90524cef910bc0f11b8f811beed0ec7111dcdee06af0b14b3091dd0e2fbb01421c0fa15c2fa0bbbfc19d4081ad2f709b20d1ad61410baf615b5fe17de,33.1508,0,68,0,33.3333,39,98,0,0,1300.75,30,0,0
1,0,12/22/2017 18:43,1408fc1006400314c30618bd101cc3030fc3f703a3111bbdee05b8fa08c1fe0dc90c10dcfd0cbd0314d20014b1071ac0111dccf209bdf610ef060ca6ed12d3372be5f4f49a1d18d00805b60213b7f003ce,32.9656,0,68,0,25.4902,39,97,0,0,1244.75,29,0,0
1,0,12/22/2017 18:43,13f8fc0005800524bd071daf0111e50b10b90410a5ef10c5fe0cc6e8f6952224caff13baf209af1517cdfa0bbf1415bf0815d3ff0bb80a18a10719b91a1bbafe0cc2fb17e1030fd5fd0bba0311b8f813ba,32.2248,0,68,0,26.2745,39,97,0,0,1167,27,0,0
1,0,12/22/2017 18:43,13f0fc2005d80818a7090ba8fd0dcc0008a8ee0ac60212bb0a13ac211fd5f60ab6f915c21020e016139a0510c81413bbfd039c1123dffa0aae0816b71826e40512aef820ea1e1fba050ebf0b1ad6f60cc5,31.2988,0,68,0,27.8431,39,98,0,0,1044.5,27,0,0
1,0,12/22/2017 18:43,13e0fc000558091ab20a21c50b24d80813ae0817bf0415b9fd15bc0e1ad61215b2151dd5fb12b80d20c61014ca0717cbeb08be0015d20613aeef0bb5fd13cb0615be1d1edd1420d0f312c8ee11b9fd1db7,28.5208,0,68,0,40.7843,38,100,0,0,1044.5,24,0,0
1,0,12/22/2017 18:43,1400fb7005c0fe19ba0c1bc2fb10be051ad50919c10613bef40ec30014bb1611c5eafdb70929e8ff16b8031cd2fe11ab0c24b70e19cb0c14bb0115c9f918b6f41ac10f1fcafb10b50016bb0119bbfe1ac9,25.7428,0,68,0,40.7843,38,98,0,0,889,20,0,0
1,0,12/22/2017 18:43,1368fb380508fb1ac60a24cb061dbb0c22c4fb1ebd071fb11124c7031ac60d21d4f506bb1021c9fb15b3ff19ae0a24d0fe10b50716b91626c51424d3e80bb6011ec40f29ccf310c70514bef80da70f17c1,21.298,0,68,0,40.7843,38,98,0,0,889.5,14,0,0
1,0,12/22/2017 18:43,1360fab005200115c00315c30813c3110ed7030daef50ec70c1cbb0d1bc20a15cc1717ddfe14c00a18c60514b8f106ac0c0abb1c28cb1f15ae050cc50e1ae1040bbf0c21c1081db60316ba0319cff913c1,17.594,0,68,0,41.1765,38,97,0,0,873,10,0,0
1,0,12/22/2017 18:43,1338fa800538f911b0fb13b8f914c40719cb091cb2fe14b8081fc1f311b10c25daff0fb20c1ecc0b19c9f710bb0724d4ff12c2051bc30616c70110c0041dc4fd1dc3fe1ac9f71bc0fb1bba021dc50115b6,11.6676,0,68,0,40.3922,38,98,0,0,851.75,7,0,0
1,0,12/22/2017 18:43,1350f9f804e00609b60d16c2000fc20210c8fe0fccfe10cc000ebe0011c50515c40315c20015bcfd12bd0215c6fd10bc040ebd000dc0020ec3ff0dc30815c10111c70612cafd02c4000ab3000ebef80aac,9.26,0,68,0,60.3922,38,97,0,0,985,8,0,0
1,0,12/22/2017 18:43,1250f96804e80104b61716c60110b9fc0cb50c1aca0c17c9fa06ba071abb0615c70407be0b16bb070ebc0005b50b13bd0f0fc6080fc70917b40e16d002ffbe0813c21119da0709ba0814bf0204be060fc8,8.7044,0,68,0,64.7059,38,97,0,0,806.25,11,0,0
